Date,Price,Open,High,Low,Vol.,Change %
9/29/2019,"1,512.90","1,501.70","1,525.80","1,465.00",2.04M,0.43%
9/22/2019,"1,506.40","1,520.00","1,538.90","1,493.30",454.97K,-0.37%
9/15/2019,"1,512.00","1,508.40","1,520.40","1,489.80",0.37K,1.02%
9/8/2019,"1,496.80","1,517.00","1,526.70","1,491.90",0.62K,-1.03%
9/1/2019,"1,512.40","1,531.90","1,561.90","1,508.10",0.06K,-0.90%
8/25/2019,"1,526.20","1,537.50","1,558.60","1,528.70",42.04K,-0.34%
8/18/2019,"1,531.40","1,516.90","1,534.00","1,496.10",43.63K,0.92%
8/11/2019,"1,517.50","1,502.90","1,539.50","1,483.00",56.34K,1.03%
8/4/2019,"1,502.00","1,446.30","1,516.20","1,443.00",68.89K,3.47%
7/28/2019,"1,451.60","1,423.20","1,455.90","1,406.40",53.47K,1.97%
7/21/2019,"1,423.50","1,431.80","1,438.00","1,414.10",10.38K,-0.46%
7/14/2019,"1,430.10","1,417.50","1,457.10","1,405.40",5.29K,1.00%
7/7/2019,"1,415.90","1,404.30","1,431.30","1,392.80",1.85K,0.89%
6/30/2019,"1,403.40","1,399.60","1,442.90","1,388.60",1.00K,-0.94%
6/23/2019,"1,416.70","1,403.90","1,442.90","1,403.60",1.44M,1.19%
6/16/2019,"1,400.10","1,345.50","1,415.40","1,336.60",2.01M,4.14%
6/9/2019,"1,344.50","1,341.20","1,362.20","1,323.60",1.24M,-0.12%
6/2/2019,"1,346.10","1,312.50","1,352.70","1,310.90",1.69M,2.67%
5/26/2019,"1,311.10","1,287.20","1,311.90","1,278.50",627.61K,1.92%
5/19/2019,"1,286.40","1,281.60","1,289.80","1,272.00",1.76K,0.59%
5/12/2019,"1,278.90","1,291.10","1,304.80","1,278.00",1.07K,-0.88%
5/5/2019,"1,290.20","1,286.10","1,295.00","1,282.30",0.17K,0.46%
4/28/2019,"1,284.30","1,285.00","1,290.40","1,272.70",0.11K,-0.35%
4/21/2019,"1,288.80","1,278.00","1,290.90","1,267.90",1.18M,1.00%
